title,image,price,ordered,image_path,material,sleeve_length,product_type,color,size,style_type,fit_type,special_feature,target_gender
Men's Cotton Linen Casual Long Sleeve Shirt Light Blue / 4XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSwpG_ZCN7woBcln7X_zpLG4c9K-V0FdAIfMqHXD4Yf5isfV4_lS2zL_YSrGw,35.44,1,image\image_0.jpg,Cotton-Linen Blend,Long Sleeve,Shirt,Blue,4XL,Casual,Unknown,None,Men
Casual Checked Flannel Shirt White/Red / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcR7cPnO4bzE8q2WUnrel8Fl6cOJW0imJZmXiTn6OJ5nsRUEBGeudKFaoBA5,29.7,1,image\image_1.jpg,Flannel,Long Sleeve,Shirt,Checked/Plaid,L,Casual,Unknown,None,Unknown
Men's Linen Long Sleeve Shirts Khaki / 5XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQIdkgbBPajj0QglpkwNrscVIcbeSQF6qGkDYH-Qv5PLTqbp4Nz8J4tzLU4zA,34.44,0,image\image_2.jpg,Linen,Long Sleeve,Shirt,Khaki,5XL,Unknown,Unknown,None,Men
Leisure Textured Shirt Set Dark Red / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSHS41W2YIUjWn-G2q28BUaHwRkHAZtpHqUSjYGucRCYTl89yw_ren2K_QMjg,45.1,0,image\image_3.jpg,Unknown,Unknown,Shirt Set,Dark Red,L,Leisure,Unknown,Textured,Unknown
Men's Premium Washed Cotton Pocket Shirt Dark Grey / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcTGNc2xEcc0cgnutr-jDsMMB4-Xpa04OZsstCoJGt2WUewOoiVAu-BjkjL_dLc,59.75,0,image\image_4.jpg,Cotton,Unknown,Shirt,Grey,L,Unknown,Unknown,Pocket,Men
Men's Vintage Premium Washed Shirt Pink / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTn5zNl8PuiiDQzAIIbxFsLhEDuDFtYgLp0V0mYCJw4Tovi962GHCoFF0TIamU,55.99,0,image\image_5.jpg,Unknown,Unknown,Shirt,Other,L,Vintage,Unknown,Washed,Men
Western Cowboy Embroidered Button Down Cotton Shirt (US Only) Black (Retro Rose) / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRu9XoNFnWJKeGXQH_V8oB_nAJPf5A0vbzCC4FLXrDFfbL7wMEuX0Bwf-7E,42.26,0,image\image_6.jpg,Cotton,Unknown,Shirt,Black,M,Other,Unknown,Embroidered,Unknown
Men's Premium Washed Cotton Pocket Shirt White / 2XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTPWxbUEW5fMFb4YirtiqOZ3hqsjqbWuoeAx0ft-_u6QrgH-VzygD2fyZc1dQ,58.08,0,image\image_7.jpg,Cotton,Unknown,Shirt,White,2XL,Unknown,Unknown,Pocket,Men
Men's Vintage Premium Washed Shirt Sky Blue / S,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSX3BhoWib7_mFJaMRE2c4yWhZYrudBbQkw1w7HL3gS0tjUr1EpOqqgxnuXIvU,62.52,0,image\image_8.jpg,Unknown,Unknown,Shirt,Blue,S,Vintage,Unknown,Washed,Men
Modern Soft Cable Knit Shirt Green / M,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQohXcLkqjOTRkOdkz81noKlPcBAeoK91M1Fva-6RiVj1RYd86HS6P9rmfQbw,45.23,0,image\image_9.jpg,Other,Unknown,Shirt,Green,M,Unknown,Unknown,None,Unknown
Men's Cotton Long Sleeve Shirt Khaki / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTykMjRpk-jf0zg4dsLER9GyjJ2tEW1jHCWWJP3QRsxMMIfPazUzbZtWcRCwA,30.68,1,image\image_10.jpg,Cotton,Long Sleeve,Shirt,Khaki,L,Unknown,Unknown,None,Men
Men's Cotton And Linen Classic Casual Stand-up Collar Short-sleeved Shirt Yellow / 5XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcRTQadzRNQNSntaxMXkUHt8J92e5PVZO3AcEKvb6iFk9QX9ezM-lkSNvPVt,28.76,1,image\image_11.jpg,Cotton-Linen Blend,Short Sleeve,Shirt,Other,5XL,Casual,Unknown,None,Men
Casual Loose Fit Shirt Sets (US Only) White / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQ5gUcbB0_M09qdlPOZb4NpQFMHNwXcbe683T7-JDIG7Cbz-ZKqaIadBucI,54.97,0,image\image_12.jpg,Unknown,Unknown,Shirt Set,White,L,Casual,Relaxed,None,Unknown
Casual Cotton and Linen Shirt Set White / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQcldHSF4ZuTZJ4lE7o01wdsrznfyjGKhY4hPC53eqst_lFsHg9sX7rEWI6eQ,45.46,0,image\image_13.jpg,Cotton-Linen Blend,Unknown,Shirt Set,White,L,Casual,Unknown,None,Unknown
Casual Loose Fit Shirt Sets (US Only) Clear Blue / XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcT1F8wV0gnkozhdqol-fYfahASOa4evkG7zdN29YJ_rMrGvq75PfL1jZNm0Xg,52.39,0,image\image_14.jpg,Unknown,Unknown,Shirt Set,Blue,XL,Casual,Relaxed,None,Unknown
Casual Loose Fit Shirt Sets (US Only) Purple / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTSIK3VduaK65e5xLX106mPVCDLX-djGfFCFExXg74cJPwUNs0Tl3A5ETC1vA,52.36,1,image\image_15.jpg,Unknown,Unknown,Shirt Set,Other,L,Casual,Relaxed,None,Unknown
Men's Vintage Premium Washed Shirt Black / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQ8I1DHkhDkq1Ijy6Q_8z9ogGK_mAvqLHKTPHl8vi4Fc0Lhx_wTLkFP-EpgiHc,58.27,1,image\image_16.jpg,Unknown,Unknown,Shirt,Black,L,Vintage,Unknown,Washed,Men
Athleisure Stretch Polo Shirt Sets Green / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSiqmD5nTA1Bjda-IJIoeryl139DbY0brnXYJwS2lgdid6R6Sx4MH1lVQCdng,45.66,1,image\image_17.jpg,Other,Unknown,Shirt Set,Green,M,Sport,Unknown,None,Unknown
100% Cotton Henley Shirt and Shorts Set Coffee / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSJpJ1G0CABUwGjDGh6qiJu-_7-bVTlFBHRof7NTorTxsVSn2iGbFRAA7Tk8w,54.04,0,image\image_18.jpg,Cotton,Unknown,Shirt Set,Other,L,Unknown,Unknown,None,Unknown
Men's Summer Linen Shirt Pink / M,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSyUFrJzptosNTRpGvkUaO0M2mO5SDUVWV6jK-_xmx8A7eXe2SCi-daI9VrF-M,36.09,0,image\image_19.jpg,Linen,Unknown,Shirt,Other,M,Leisure,Unknown,None,Men
